%azimuth	elevation
175.764	24.123
176.750	0.000
179.000 0.000
-180.000 0.00
-175.752	0.240
-172.845	0.902
-162.255	0.602
-157.546	1.447
-151.965	1.709
-144.908	2.983
-137.995	1.459
-135.057	1.856
-129.867	1.260
-120.868	1.663
-113.793	1.039
-104.237	1.545
-100.552	1.494
-98.052	1.663
-93.611	1.891
-87.474	2.693
-84.289	3.861
-80.538	3.958
-77.747	3.269
-74.476	2.222
-69.120	2.824
-65.186	2.431
-61.189	2.246
-54.593	2.886
-50.604	1.498
-44.417	1.099
-36.697	0.178
-33.777	0.110
-25.449	6.950
-16.064	7.017
-15.025	10.552
-13.839	10.241
-13.000	0.334
-9.424	0.000
-3.611	0.091
4.990	0.000
17.572	0.000
30.897	0.000
44.727	0.000
57.962	0.000
71.736	0.000
87.168	0.000
100.752	0.000
115.944	0.000
128.003	0.000
139.831	0.000
149.472	0.000
157.709	0.000
165.268	0.000
174.000	0.000
175.000	24.001
